category,category_title,subgroup,subgroup_title,count,mode,sample_slugs
"marketing-business-print","Marketing & Business Print","business-cards","Business Cards","9","placement","magnets-business-card | business-cards-thick | business-cards-matte | business-cards-pearl | business-cards-classic"
"marketing-business-print","Marketing & Business Print","flyers","Flyers","4","placement","flyers | flyers-small | flyers-large | flyers-standard"
"marketing-business-print","Marketing & Business Print","rack-cards","Rack Cards","4","placement","rack-cards-folded | rack-cards | rack-cards-tear-off | rack-cards-standard"
"marketing-business-print","Marketing & Business Print","door-hangers","Door Hangers","4","placement","door-hangers | door-hangers-standard | door-hangers-perforated | door-hangers-large"
"marketing-business-print","Marketing & Business Print","postcards","Postcards","5","placement","postcards-medium | postcards | postcards-eddm | postcards-large | postcards-standard"
"marketing-business-print","Marketing & Business Print","brochures","Brochures","4","placement","brochures-tri-fold | brochures-bi-fold | brochures | brochures-z-fold"
"marketing-business-print","Marketing & Business Print","booklets","Booklets","4","placement","booklets-perfect-bound | booklets | booklets-saddle-stitch | booklets-wire-o"
"marketing-business-print","Marketing & Business Print","posters","Posters","5","placement","posters-glossy | posters-backlit | posters-matte | posters | posters-adhesive"
"marketing-business-print","Marketing & Business Print","menus","Menus","6","placement","table-mat | menus-takeout | menus | menus-folded | menus-flat"
"marketing-business-print","Marketing & Business Print","ncr-forms","NCR Forms","4","placement","ncr-forms-triplicate | ncr-forms-duplicate | ncr-invoices | ncr-invoice-books"
"marketing-business-print","Marketing & Business Print","order-forms","Order Forms","2","placement","order-form-pads | order-forms-single"
"marketing-business-print","Marketing & Business Print","waivers-releases","Waivers & Releases","2","placement","release-waiver-forms | release-forms"
"marketing-business-print","Marketing & Business Print","envelopes","Envelopes","5","placement","envelopes | envelopes-6x9-catalog | envelopes-a7-invitation | envelopes-9x12-catalog | envelopes-10-business"
"marketing-business-print","Marketing & Business Print","letterhead-stationery","Letterhead & Stationery","11","placement","letterhead-standard | calendars-wall-desk | calendars-wall | bookmarks | bf-letterhead"
"marketing-business-print","Marketing & Business Print","stamps","Stamps","8","placement","stamps-s827 | stamps-r524 | stamps-r512 | stamps-s520 | stamps-r532"
"marketing-business-print","Marketing & Business Print","presentation-folders","Folders","5","placement","presentation-folders-legal | presentation-folders-die-cut | presentation-folders-reinforced | presentation-folders-standard | presentation-folders"
"marketing-business-print","Marketing & Business Print","certificates","Certificates","3","placement","bf-certificates | certificates | gift-certificates"
"marketing-business-print","Marketing & Business Print","greeting-cards","Greeting Cards","1","placement","greeting-cards"
"marketing-business-print","Marketing & Business Print","invitation-cards","Invitation Cards","2","placement","invitation-cards | invitations-flat"
"marketing-business-print","Marketing & Business Print","loyalty-cards","Loyalty Cards","1","placement","loyalty-cards"
"marketing-business-print","Marketing & Business Print","shelf-displays","Shelf Displays","3","placement","wobblers | shelf-talkers | danglers"
"marketing-business-print","Marketing & Business Print","table-tents","Table Tents","3","placement","table-tents-4x6 | table-display-cards | table-tent-cards"
"marketing-business-print","Marketing & Business Print","tickets-coupons","Tickets & Coupons","5","placement","cardstock-prints | rp-tickets | coupons | tickets | rp-coupons"
"marketing-business-print","Marketing & Business Print","retail-tags","Retail Tags & Labels","2","placement","rp-menus | rp-hang-tags"
"marketing-business-print","Marketing & Business Print","tags","Packaging Tags & Labels","4","placement","hang-tags | tags-hang-tags | hang-tags-custom | label-sets"
"marketing-business-print","Marketing & Business Print","inserts-packaging","Packaging Inserts & Seals","6","placement","packaging-inserts | thank-you-cards | product-inserts | sticker-seals | packing-slips"
"stickers-labels-decals","Stickers & Labels","die-cut-stickers","Die-Cut","11","placement","holographic-singles | holographic-stickers | stickers-single-diecut | stickers-color-on-white | stickers-die-cut-custom"
"stickers-labels-decals","Stickers & Labels","kiss-cut-singles","Kiss-Cut","1","placement","removable-stickers"
"stickers-labels-decals","Stickers & Labels","sticker-pages","Sheets & Pages","5","placement","sticker-sheets | kiss-cut-sticker-sheets | stickers-multi-on-sheet | stickers-sheet-kisscut | sticker-packs"
"stickers-labels-decals","Stickers & Labels","sticker-rolls","Rolls & Labels","11","placement","freezer-labels | kraft-paper-labels | roll-labels | white-bopp-labels | barcode-labels"
"stickers-labels-decals","Stickers & Labels","vinyl-lettering","Vinyl Lettering","2","placement","transfer-vinyl-lettering | vinyl-lettering"
"stickers-labels-decals","Stickers & Labels","decals","Decals","3","placement","wall-decals | window-decals | floor-decals"
"stickers-labels-decals","Stickers & Labels","specialty","Specialty","1","placement","magnets-flexible"
"stickers-labels-decals","Stickers & Labels","fire-emergency","Fire & Emergency","3","placement","fire-extinguisher-location-stickers | first-aid-location-stickers | emergency-exit-egress-signs-set"
"stickers-labels-decals","Stickers & Labels","hazard-warning","Hazard & Warning","6","placement","parking-lot-stencils | safety-notice-decal-pack | no-smoking-decals-set | hazard-ghs-labels | slip-trip-hazard-signs"
"stickers-labels-decals","Stickers & Labels","ppe-equipment","PPE & Equipment","4","placement","ppe-hard-hat-stickers | forklift-safety-decals | ppe-required-signs | crane-lift-capacity-labels"
"stickers-labels-decals","Stickers & Labels","electrical-chemical","Electrical & Chemical","5","placement","arc-flash-labels | lockout-tagout-labels | high-voltage-warning-signs | whmis-workplace-labels | chemical-storage-labels"
"stickers-labels-decals","Stickers & Labels","asset-equipment-tags","Asset & Equipment Tags","4","placement","tool-box-bin-labels | asset-tags-tamper-evident | asset-tags-qr-barcode | equipment-rating-plates"
"stickers-labels-decals","Stickers & Labels","pipe-valve-labels","Pipe & Valve Labels","3","placement","pipe-markers-custom | valve-tags-engraved | pipe-markers-color-coded"
"stickers-labels-decals","Stickers & Labels","warehouse-labels","Warehouse Labels","4","placement","aisle-markers-hanging | dock-door-numbers | warehouse-zone-labels | rack-labels-warehouse"
"stickers-labels-decals","Stickers & Labels","electrical-cable-labels","Electrical & Cable","2","placement","cable-panel-labels | electrical-panel-labels"
"signs-rigid-boards","Signs & Rigid Boards","yard-signs","Yard & Lawn Signs","10","placement","coroplast-signs | yard-sign-h-frame | yard-signs-coroplast | coroplast-yard-signs | lawn-signs-h-stake"
"signs-rigid-boards","Signs & Rigid Boards","real-estate-signs","Real Estate Signs","2","placement","real-estate-agent-sign | real-estate-sign"
"signs-rigid-boards","Signs & Rigid Boards","foam-board-signs","Foam Board Signs","6","placement","foam-board-easel | photo-board | foam-board-prints | rigid-foam-board-prints | custom-foam-board"
"signs-rigid-boards","Signs & Rigid Boards","a-frame-signs","A-Frame Inserts","2","placement","a-frame-insert-prints | a-frame-sandwich-board"
"signs-rigid-boards","Signs & Rigid Boards","election-signs","Election & Campaign","1","placement","election-campaign-sign"
"signs-rigid-boards","Signs & Rigid Boards","display-signs","Display Signs","21","placement","clear-acrylic-signs | handheld-sign | frosted-acrylic-signs | handheld-signs | wayfinding-signs"
"banners-displays","Banners & Displays","vinyl-banners","Vinyl Banners","4","placement","vinyl-banner-13oz | blockout-banners | double-sided-banners | vinyl-banners"
"banners-displays","Banners & Displays","mesh-banners","Mesh Banners","2","placement","mesh-banners | mesh-banner"
"banners-displays","Banners & Displays","pole-banners","Pole Banners","1","placement","pole-banners"
"banners-displays","Banners & Displays","canvas-prints","Canvas Prints","1","placement","canvas-prints"
"banners-displays","Banners & Displays","retractable-stands","Roll-Up Stands","8","placement","roll-up-banners | l-base-banner-stand | banner-stand-rollup | deluxe-rollup-banner | banner-stand-l-base"
"banners-displays","Banners & Displays","x-banner-stands","X-Banner Stands","7","placement","x-banner-stand-standard | x-banner-stand-large | x-banner-prints | tabletop-x-banner | banner-stand-x"
"banners-displays","Banners & Displays","tabletop-displays","Tabletop Displays","14","placement","installation-service | deluxe-tabletop-retractable-a3 | table-cloth | branded-table-runner | standoff-hardware-set"
"banners-displays","Banners & Displays","backdrops-popups","Backdrops & Pop-Ups","10","placement","step-repeat-backdrops | step-repeat-backdrop-8x8 | tension-fabric-display-3x3 | backdrop-stand-hardware | telescopic-backdrop"
"banners-displays","Banners & Displays","flags-hardware","Flags & Poles","12","placement","teardrop-flags | feather-flags | flag-base-ground-stake | teardrop-flag-pole-set | flag-base-water-bag"
"banners-displays","Banners & Displays","a-frames-signs","A-Frame Hardware","2","placement","a-frame-stand | a-frame-sign-stand"
"banners-displays","Banners & Displays","lawn-yard-signs","Lawn & Yard Signs","3","placement","real-estate-frame | h-stakes | h-stake-wire"
"banners-displays","Banners & Displays","tents-outdoor","Tents & Outdoor","3","placement","tent-walls-set | outdoor-canopy-tent-10x10 | tent-frame-10x10"
"windows-walls-floors","Windows/Walls/Floors Decals","static-clings","Static Clings","2","placement","clear-static-cling | frosted-static-cling"
"windows-walls-floors","Windows/Walls/Floors Decals","adhesive-films","Adhesive Films","4","placement","color-white-color-clear-vinyl | color-white-on-clear-vinyl | frosted-matte-window-film | holographic-iridescent-film"
"windows-walls-floors","Windows/Walls/Floors Decals","one-way-vision","One-Way Vision","4","placement","window-graphics-perforated | one-way-vision-graphics | perforated-window-film | vehicle-window-tint-graphic"
"windows-walls-floors","Windows/Walls/Floors Decals","privacy-films","Privacy Films","2","placement","frosted-privacy-film | frosted-privacy-window-film"
"windows-walls-floors","Windows/Walls/Floors Decals","window-lettering","Window Lettering","4","placement","storefront-hours-door-decal-cut-vinyl | window-cut-vinyl-lettering | window-lettering-business | window-lettering-cut-vinyl"
"windows-walls-floors","Windows/Walls/Floors Decals","wall-graphics","Wall Graphics","3","placement","wall-murals | wall-mural-graphic | wall-graphics"
"windows-walls-floors","Windows/Walls/Floors Decals","floor-graphics","Floor Graphics","6","placement","floor-number-markers-set | warehouse-floor-safety-graphics | floor-graphics | lf-floor-graphics | floor-logo-graphic"
"windows-walls-floors","Windows/Walls/Floors Decals","window-graphics","Architectural Window Graphics","4","placement","window-graphics | full-window-graphics | window-frosted | window-perforated"
"vehicle-graphics-fleet","Vehicle & Fleet Graphics","vehicle-wraps","Vehicle Wraps","6","placement","trailer-box-truck-large-graphics | full-vehicle-wrap-design-print | trailer-full-wrap | vehicle-wrap-print-only-quote | vehicle-roof-wrap"
"vehicle-graphics-fleet","Vehicle & Fleet Graphics","door-panel-graphics","Door & Panel","5","placement","custom-truck-door-lettering-kit | printed-truck-door-decals-full-color | tailgate-rear-door-printed-decal | truck-side-panel-printed-decal | car-hood-decal"
"vehicle-graphics-fleet","Vehicle & Fleet Graphics","vehicle-decals","Decals & Lettering","7","placement","boat-lettering-registration | custom-printed-vehicle-logo-decals | removable-promo-vehicle-decals | social-qr-vehicle-decals | bumper-sticker-custom"
"vehicle-graphics-fleet","Vehicle & Fleet Graphics","magnetic-signs","Magnetic Signs","4","placement","magnetic-car-signs | magnetic-rooftop-sign | car-door-magnets-pair | magnetic-truck-door-signs"
"vehicle-graphics-fleet","Vehicle & Fleet Graphics","fleet-packages","Fleet Packages","5","placement","stay-back-warning-decals | reflective-safety-stripes-kit | fleet-graphic-package | high-visibility-rear-chevron-kit | reflective-conspicuity-tape-kit"
"vehicle-graphics-fleet","Vehicle & Fleet Graphics","vehicle-graphics","Vehicle Graphics","1","placement","car-graphics"
"vehicle-graphics-fleet","Vehicle & Fleet Graphics","dot-mc-numbers","DOT & MC Numbers","6","placement","tssa-truck-number-lettering-cut-vinyl | cvor-number-decals | usdot-number-decals | mc-number-decals | nsc-number-decals"
"vehicle-graphics-fleet","Vehicle & Fleet Graphics","unit-weight-ids","Unit & Weight IDs","3","placement","equipment-id-decals-cut-vinyl | fleet-unit-number-stickers | gvw-tare-weight-lettering"
"vehicle-graphics-fleet","Vehicle & Fleet Graphics","spec-labels","Spec Labels","3","placement","fuel-type-labels-diesel-gas | dangerous-goods-placards | tire-pressure-load-labels"
"vehicle-graphics-fleet","Vehicle & Fleet Graphics","inspection-compliance","Inspection & Compliance","5","placement","vehicle-inspection-maintenance-stickers | ifta-cab-card-holder | fleet-vehicle-inspection-book | hours-of-service-log-holder | truck-door-compliance-kit"
