slug,name,category,pricingUnit,basePrice_cad,preset_key,preset_model,preset_active,minimumPrice,fileFee,materials_count,finishings_count,addons_count,sizes_count,tier_1,tier_2,tier_3,has_optionsConfig
blockout-banners,Blockout Banners,banners-displays,per_sqft,0.00,la_banner_vinyl_area_v2,AREA_TIERED,true,35,5,3,8,,,6:4.5,18:3.8,32:3.2,true
canvas-prints,Canvas Prints,banners-displays,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
double-sided-banners,Double-Sided Banners,banners-displays,per_sqft,0.00,la_banner_vinyl_area_v2,AREA_TIERED,true,35,5,3,8,,,6:4.5,18:3.8,32:3.2,true
mesh-banner,Mesh Banner (Wind Proof),banners-displays,per_sqft,50.00,la_banner_mesh_area_v2,AREA_TIERED,true,38,5,2,6,,,6:4.8,18:4,32:3.4,true
mesh-banners,Mesh Banners,banners-displays,per_sqft,0.00,la_banner_mesh_area_v2,AREA_TIERED,true,38,5,2,6,,,6:4.8,18:4,32:3.4,true
pole-banners,Pole Banners,banners-displays,per_sqft,0.00,la_banner_mesh_area_v2,AREA_TIERED,true,38,5,2,6,,,6:4.8,18:4,32:3.4,true
vinyl-banner-13oz,13oz Vinyl Banner,banners-displays,per_sqft,50.00,la_banner_vinyl_area_v2,AREA_TIERED,true,35,5,3,8,,,6:4.5,18:3.8,32:3.2,true
vinyl-banners,Vinyl Banners,banners-displays,per_sqft,0.00,la_banner_vinyl_area_v2,AREA_TIERED,true,35,5,3,8,,,6:4.5,18:3.8,32:3.2,true
a-frame-sign-stand,A-Frame Sidewalk Stand,display-stands,per_piece,149.00,autobase_a-frame-sign-stand,QTY_TIERED,true,149,0,,,,,1:149,3:141.55,5:134.1,false
a-frame-stand,A-Frame Stand,display-stands,per_piece,149.00,autobase_a-frame-sign-stand,QTY_TIERED,true,149,0,,,,,1:149,3:141.55,5:134.1,false
backdrop-stand-hardware,Backdrop Stand Hardware,display-stands,per_piece,129.00,autobase_backdrop-stand-hardware,QTY_TIERED,true,129,0,,,,,1:129,3:122.55,5:116.1,false
banner-hems,Banner Hems (Service),display-stands,per_piece,7.00,catbase_display_stands_01,QTY_TIERED,true,0,0,0,0,,,1:5.5,5:5.225,10:4.95,false
banner-stand-l-base,L-Base Banner Stand (Hardware),display-stands,per_piece,69.00,autobase_banner-stand-l-base,QTY_TIERED,true,69,0,,,,,1:69,3:65.55,5:62.1,false
banner-stand-rollup,Roll-Up Stand (Hardware),display-stands,per_piece,99.00,autobase_acrylic-signs,QTY_TIERED,true,99,0,,,,,1:99,3:94.05,5:89.1,false
banner-stand-x,X-Stand (Hardware),display-stands,per_piece,49.00,autobase_banner-stand-x,QTY_TIERED,true,49,0,,,,,1:49,3:46.55,5:44.1,false
branded-table-cover-6ft,Branded Table Cover — 6ft,display-stands,per_piece,149.00,autobase_a-frame-sign-stand,QTY_TIERED,true,149,0,,,,,1:149,3:141.55,5:134.1,false
branded-table-runner,Branded Table Runner,display-stands,per_piece,89.00,autobase_acm-dibond-signs,QTY_TIERED,true,89,0,,,,,1:89,3:84.55,5:80.1,false
deluxe-rollup-banner,Deluxe Roll-Up Banner Stand,display-stands,per_piece,165.00,autobase_deluxe-rollup-banner,QTY_TIERED,true,165,0,,,,,1:165,3:156.75,5:148.5,false
deluxe-tabletop-retractable-a3,Deluxe Tabletop Retractable - A3,display-stands,per_piece,75.00,autobase_deluxe-tabletop-retractable-a3,QTY_TIERED,true,75,0,,,,,1:75,3:71.25,5:67.5,false
double-sided-tape,Double-Sided Tape (Add-on),display-stands,per_piece,9.00,catbase_display_stands_02,QTY_TIERED,true,0,0,0,0,,,1:10.5,5:9.975,10:9.45,false
drilled-holes-service,Drilled Holes (Service),display-stands,per_piece,6.00,catbase_display_stands_01,QTY_TIERED,true,0,0,0,0,,,1:5.5,5:5.225,10:4.95,false
feather-flag,Feather Flag,display-stands,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
feather-flag-large,Feather Flag — Large,display-stands,per_piece,169.00,autobase_feather-flag-large,QTY_TIERED,true,169,0,,,,,1:169,3:160.55,5:152.1,false
feather-flag-medium,Feather Flag — Medium,display-stands,per_piece,129.00,autobase_backdrop-stand-hardware,QTY_TIERED,true,129,0,,,,,1:129,3:122.55,5:116.1,false
feather-flag-pole-set,Feather Flag Pole Set,display-stands,per_piece,99.00,autobase_acrylic-signs,QTY_TIERED,true,99,0,,,,,1:99,3:94.05,5:89.1,false
feather-flags,Feather Flags,display-stands,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
flag-base-ground-stake,Flag Ground Stake,display-stands,per_piece,29.00,autobase_flag-base-ground-stake,QTY_TIERED,true,29,0,,,,,1:29,3:27.55,5:26.1,false
flag-base-water-bag,Flag Water Bag,display-stands,per_piece,39.00,autobase_flag-base-water-bag,QTY_TIERED,true,39,0,,,,,1:39,3:37.05,5:35.1,false
flag-bases-cross,Flag Cross Base,display-stands,per_piece,59.00,autobase_flag-bases-cross,QTY_TIERED,true,59,0,,,,,1:59,3:56.05,5:53.1,false
grommets-service,Grommets (Service),display-stands,per_piece,5.00,catbase_display_stands_01,QTY_TIERED,true,0,0,0,0,,,1:5.5,5:5.225,10:4.95,false
h-stake-wire,H-Wire Stake,display-stands,per_piece,3.50,catbase_display_stands_01,QTY_TIERED,true,0,0,0,0,,,1:5.5,5:5.225,10:4.95,false
h-stakes,H-Stakes,display-stands,per_piece,12.00,catbase_display_stands_02,QTY_TIERED,true,0,0,0,0,,,1:10.5,5:9.975,10:9.45,false
installation-service,Installation Service,display-stands,per_piece,199.00,catbase_display_stands_03,QTY_TIERED,true,0,0,0,0,,,1:287,5:272.65,10:258.3,false
l-base-banner-stand,L-Base Banner Stand,display-stands,per_piece,35.00,autobase_aisle-markers-hanging,QTY_TIERED,true,35,0,,,,,1:35,3:33.25,5:31.5,false
media-wall-pop-up,Media Wall Pop-Up Frame,display-stands,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
outdoor-canopy-tent-10x10,Outdoor Canopy Tent 10×10,display-stands,per_piece,599.00,catbase_display_stands_04,QTY_TIERED,true,0,0,0,0,,,1:599,5:569.05,10:539.1,false
pillowcase-display-frame,Pillowcase Display,display-stands,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
pole-pockets,Pole Pockets (Service),display-stands,per_piece,9.00,catbase_display_stands_02,QTY_TIERED,true,0,0,0,0,,,1:10.5,5:9.975,10:9.45,false
popup-display-curved-8ft,Curved Pop-Up Display 8ft,display-stands,per_piece,349.00,catbase_display_stands_03,QTY_TIERED,true,0,0,0,0,,,1:287,5:272.65,10:258.3,false
popup-display-straight-8ft,Straight Pop-Up Display 8ft,display-stands,per_piece,329.00,catbase_display_stands_03,QTY_TIERED,true,0,0,0,0,,,1:287,5:272.65,10:258.3,false
pull-up-banner,Pull Up Banner,display-stands,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
real-estate-frame,Real Estate Sign Frame,display-stands,per_piece,45.00,autobase_boat-lettering-registration,QTY_TIERED,true,45,0,,,,,1:45,3:42.75,5:40.5,false
retractable-banner-stand-premium,Retractable Banner Stand - Premium,display-stands,per_piece,145.00,batch1_retractable_banner_premium,QTY_TIERED,true,145,0,,3,,,1:145,3:128,5:115,false
roll-up-banners,Roll-Up Banners,display-stands,per_piece,0.00,autobase_barcode-labels,QTY_TIERED,true,5,0,,,,,1:0.01,3:0.01,5:0.01,false
roll-up-stand-hardware,Roll-Up Stand Hardware,display-stands,per_piece,99.00,autobase_acrylic-signs,QTY_TIERED,true,99,0,,,,,1:99,3:94.05,5:89.1,false
standoff-hardware-set,Standoff Hardware Set,display-stands,per_piece,32.00,autobase_standoff-hardware-set,QTY_TIERED,true,32,0,,,,,1:32,3:30.4,5:28.8,false
